EventID,Season,Title,EventType,StartDate,EndDate,StartTime,EndTime,Location,Status,OfficerLead,Description,RsvpLink
EVT-001,2026-2027,Fall Welcome Back BBQ & Wax Clinic,Social,2026-09-22,2026-09-22,16:00,19:00,"Anisq'Oyo' Park, Isla Vista",Completed,Social Chair,"Burgers, hot dogs, cold drinks, ski tuning benches, and team stickers. Bring your boards to wax!",
EVT-002,2026-2027,Fall General Meeting #1 (Club Kickoff & Ikon Info),Club Meeting,2026-10-06,2026-10-06,19:00,20:30,"Campbell Hall 1610, UCSB Campus",Completed,President,"Annual club season overview, Ikon college discount code distribution, and trip calendar preview.",https://forms.gle/ucsb-ski-meeting-1
EVT-003,2026-2027,Teton Gravity Research Ski Film Premiere,Social,2026-10-16,2026-10-16,20:00,22:00,Isla Vista Theater (IV Theater 1),Completed,Social Chair,"Annual premiere of the new TGR freeride movie. Free popcorn, sponsor raffle, and winter hype!",
EVT-004,2026-2027,Pre-Season Dryland Leg Burner & Core Workout,Dryland / Fitness,2026-11-04,2026-11-04,17:00,18:15,UCSB Rec Cen Turf Fields,Completed,Safety Officer,"Ski-specific plyometrics, squat circuits, and agility ladder drills to prep for Mammoth opening week.",
EVT-005,2026-2027,Thanksgiving Ski Wax Clinic & Bake Sale,Fundraiser / Merch,2026-11-18,2026-11-18,11:00,15:00,UCSB Arbor Walkway,Completed,Gear Manager,"$10 quick hot wax for students, homemade baked goods, and team merch pre-orders.",
EVT-006,2026-2027,AIARE Avalanche Safety & Beacon Clinic,Clinic / Workshop,2026-12-08,2026-12-08,18:30,20:00,"Buchanan Hall 1930, UCSB Campus",Completed,Safety Officer,"Certified backcountry guide guest presentation on beacon search techniques, snowpack tests, and companion rescue.",
EVT-007,2026-2027,Winter General Meeting & Tahoe MLK Trip Briefing,Club Meeting,2027-01-10,2027-01-10,19:00,20:15,"Campbell Hall 1610, UCSB Campus",Completed,Trip Director,Mandatory trip briefing for all athletes attending the Palisades Tahoe MLK trip. Carpools and cabin rules announced.,
EVT-008,2026-2027,End-of-Season Beach Dayge BBQ,Social,2027-04-18,2027-04-18,13:00,17:30,Goleta Beach Park (Area B),Confirmed,Social Chair,"Post-season beach day celebration with volleyball, spikeball, burgers, and spring sun.",
EVT-009,2026-2027,Annual UCSB Ski Team Awards Banquet,Social,2027-05-14,2027-05-14,18:00,21:30,The Club & Guest House at UCSB,Confirmed,President,"Semi-formal banquet dinner, season highlight video premiere, graduating senior tributes, and annual athlete awards.",https://tickets.ucsbskiteam.com/banquet2027
EVT-010,2025-2026,Fall Kickoff BBQ & Team Meeting,Social,2025-09-24,2025-09-24,16:30,19:00,"Anisq'Oyo' Park, Isla Vista",Completed,President,Welcome back barbecue and season kickoff.,
EVT-011,2025-2026,Warren Miller Ski Film Screening,Social,2025-10-18,2025-10-18,19:30,21:30,IV Theater,Completed,Social Chair,Annual winter stoke film premiere.,
EVT-012,2025-2026,End-of-Year Awards Banquet 2026,Social,2026-05-10,2026-05-10,18:30,21:30,UCSB Faculty Club,Completed,President,Annual team awards banquet dinner.,
